Nuoroda;Ar apie dividendus?;Ismoketa is viso;Ismoketa uz akcija;Valiuta;Uz kuriuos metus;Kompanijos pavadinimas;Straipsnio data
https://www.15min.lt/verslas/naujiena/bendroves/rokiskio-suris-ismokes-3-2-mln-euru-dividendu-663-790246;1;3228000;;Eur;2016;„Rokiškio s?ris“;2017-04-28
https://www.15min.lt/verslas/naujiena/bendroves/pieno-zvaigzdes-siemet-dividendu-moketi-neketina-663-950844;1;0;;Eur;2017;„Pieno žvaigžd?s“;2018-04-04
https://www.15min.lt/naujiena/aktualu/lietuva/klasco-akcininkams-bus-mokami-dividendai-56-139376;1;26200000;2,07;Lt;2010;KLASCO;2011-02-25
https://www.15min.lt/verslas/naujiena/finansai/telia-lietuva-ismokes-40-8-mln-euru-dividendu-662-962540;1;40783000;0,07;Eur;2017;„Telia Lietuva“;2018-04-25
https://www.15min.lt/verslas/naujiena/finansai/inter-rao-lietuva-ketina-ismoketi-7-1-mln-euru-dividendu-662-951822;1;7100000;;Eur;2017;„Inter RAO Lietuva“;2018-04-05
https://www.15min.lt/verslas/naujiena/bendroves/achema-siemet-ismokes-17-mln-euru-dividendu-663-791472;1;17000000;;Eur;2016;„Achema“;2017-05-02
https://www.15min.lt/verslas/naujiena/bendroves/lietuvos-gelezinkeliai-valstybei-ismokes-0-85-mln-euru-dividendu-663-637699;1;850000;;Eur;2015;„Lietuvos geležinkeliai“;2016-06-06
https://www.15min.lt/verslas/naujiena/finansai/lietuvos-energija-i-valstybes-biudzeta-siulo-pervesti-100-8-mln-euru-dividendu-662-945028;1;100700000;;Eur;2017;„Lietuvos energija“;2018-03-22
https://www.delfi.lt/verslas/verslas/lietuvos-energijos-akcininkams-patvirtinti-dividendai.d?id=2259221;1;38118000;0,055;Lt;2002;„Lietuvos energija“;2003-04-29
https://www.delfi.lt/mokslas/technologijos/lietuvos-telekomo-dividendai-101-mln-lt.d?id=6535669;1;100986000;0,13;Lt;2004;„Lietuvos telekomas“;2005-04-23
https://www.vz.lt/agroverslas/maisto-pramone/2018/06/18/mars-lietuva-dividendams-skyre-40-mlneur;1;40000000;;Eur;2017;„Mars Lietuva“;2018-06-18
https://www.vz.lt/prekyba/2018/06/13/kesko-senukai-lithuania-ismokejo-63-mln-eur-dividendu;1;6300000;;Eur;2017;„Kesko Senukai Lithuania“;2018-06-13
https://www.vz.lt/finansai-apskaita/2018/06/13/maxima-lt-pernai-ismokejo-934-mln-eur-dividendu;1;93400000;;Eur;2017;„Maxima LT“;2018-06-13
https://www.vz.lt/paslaugos/2018/06/12/city-service-ketina-ismoketi-98-mln-eur-dividendu;1;9800000;;Eur;2017;„City Service“;2018-06-12
https://www.vz.lt/finansai-apskaita/2018/05/25/maxima-grupepernai-ismokejo-100-mln-eur-dividendu;1;100000000;;Eur;2017;„Maxima grup?“;2018-05-25
https://www.vz.lt/pramone/2018/05/24/nemuno-banga-vieninteliam-akcininkui-ismoketa-48-mln-eur-dividendu;1;4800000;;Eur;2017;„Nemuno banga“;2018-05-24
https://www.vz.lt/prekyba/2018/05/23/bennet-distributors-dividendams-siemet-skyre-4-mlneur;1;4000000;;Eur;2017;„Bennet distributors“;2018-05-23
https://www.vz.lt/transportas-logistika/2018/05/03/oro-navigacija-valstybei-sumokes-05-mln-eur;1;500000;;Eur;2017;„Oro navigacija“;2018-05-03
https://www.vz.lt/energetika/2018/05/02/lietuvos-energija-i-biudzeta-perves783-mln-eur-dividendu;1;78300000;;Eur;2017;„Lietuvos energija“;2018-05-02
https://www.vz.lt/rinkos/2018/04/30/zemaitjos-pienas-ismokes-69-mln-eur-dividendu;1;6900000;0,15;Eur;2017;„Žematijos pienas“;2018-04-30
https://www.vz.lt/pramone/2018/04/26/grigeo-ismokes-39-mln-eur-dividendu;1;3900000;0,06;Eur;2017;„Grigeo“;2018-04-26
https://www.vz.lt/energetika/2018/04/24/litgrid-dividendais-ismokes-77-mln-eur;1;7700000;0,0153;Eur;2017;„Litgrid“;2018-04-24
https://www.lrytas.lt/verslas/rinkos-pulsas/2018/05/25/news/lietuvos-oro-uostai-i-salies-biudzeta-perves-rekordine-dividendu-suma-6413564/;1;3400000;;Eur;2017;Lietuvos oro uostai;2018-05-25
https://verslas.lrytas.lt/mano-pinigai/2018/01/15/news/-litexpo-uz-praejusius-metus-valstybei-sumokes-480-tukst-euru-dividendu-4250859/;1;480000;;Eur;2017;„Litexpo“;2018-01-15
https://verslas.lrytas.lt/rinkos-pulsas/2017/05/08/news/skolas-iveikusi-grinda-ismoka-dividendus-1-mln-euru-grizta-gyventojams-1063730/;1;1000000;;Eur;2016;„Grinda“;2017-05-08
https://verslas.lrytas.lt/energetika/2017/04/13/news/-lietuvos-energijos-2016-metu-indelis-i-biudzeta-per-100-mln-euru-dividendu-726900/;1;101000000;;Eur;2016;„Lietuvos energija“;2017-04-13
https://verslas.lrytas.lt/rinkos-pulsas/2016/06/14/news/lietuvos-pastas-valstybei-ismokes-kone-0-7-mln-euru-dividendu-1316096/;1;700000;;Eur;2015;Lietuvos paštas;2016-06-14
https://verslas.lrytas.lt/rinkos-pulsas/2014/09/10/news/gelezinkelieciai-dividendu-atseikejo-daugiausia-4585831;1;156000000;;Lt;2013;„Lietuvos geležinkeliai“;2014-09-10
http://www.diena.lt/naujienos/klaipeda/miesto-pulsas/klaipedos-nafta-ismokes-17-mln-euru-dividendu-861449;1;17031000;;Eur;2017;„Klaip?dos nafta“;2018-04-27
https://bigbenas.lt/rokiskio-suris-ismokes-3-6-mln-euru-dividendu/;1;3587000;;Eur;2017;„Rokiškio s?ris“;2018-04-27
http://www.rokiskiosirena.lt/naujiena/verslas/rokikio-sris-akcininkams-imoks-36-mln-eur-dividend?page=5&per-page=5;1;3586000;;Eur;2017;„Rokiškio s?ris“;2018-04-30
https://bre.invl.com/3/lt/articles/articles/view/506/invl-baltic-real-estate-uz-2017-m-ismokes-171-mln-euru;1;1710000;0,13;Eur;2017;„INVL Baltic Real Estate“;2018-03-26
https://www.lrt.lt/naujienos/ekonomika/4/139010/lietuvos-gelezinkeliai-valstybei-ismokes-0-85-mln-euru-dividendu;1;845700;;Eur;2015;„Lietuvos geležinkeliai“;2016-06-06
https://lietuvospastas.lt/lt/apie-mus/naujienos/valstybei-lietuvos-pastas-ismokes-beveik-07-mln-euru-dividendu;1;700000;;Eur;2015;Lietuvos paštas;2016-06-14
https://www.tv3.lt/naujiena/86921/vilkyskiu-pienine-akcininkams-ismokes-per-2-milijonus-litu-dividendu;1;2000000;0,22;Lt;2006;Vilkyški? pienin?;2007-04-20
http://l24.lt/lt/verslas/item/124310-achema-ismokes-30-mln-euru-dividendu;1;30000000;;Eur;2015;„Achema“;2016-04-15
https://www.verslozinios.lt/rinkos/2016/04/29/grigeo-grigiskes-ismokes-13-mln-eur-dividendu;1;1314000;0,02;Eur;2015;„Grigeo“;2016-04-29
http://www.vzinios.lt/article/20150327/Article/303279974;1;4055000;0,32;Eur;2014;KLASCO;2015-03-27
http://www.pienoukis.lt/10145/;1;11912000;0,24;Lt;2013;„Pieno žvaigžd?s“;2014-04-30
http://www.diena.lt/naujienos/vilnius/miesto-pulsas/grinda-padvigubino-pelna-ir-ismokes-puse-milijono-euru-dividendu-867370;1;536000;;Eur;2017;„Grinda“;2018-06-07
